Id,Name,Address,City,State,Zip,Website
1537,THE UNIVERSITY OF TEXAS AT TYLER,3900 UNIVERSITY BLVD,TYLER,TX,75799,https://www.uttyler.edu/
1538,BRISTOL COMMUNITY COLLEGE,777 ELSBREE ST,FALL RIVER,MA,02720,www.bristolcc.edu/
1539,SOUTHERN MAINE COMMUNITY COLLEGE,2 FORT ROAD,SOUTH PORTLAND,ME,04106,www.smccme.edu/
1540,WILKES UNIVERSITY,84 WEST SOUTH STREET,WILKES-BARRE,PA,18766,www.wilkes.edu/
1541,DREXEL UNIVERSITY,3141 CHESTNUT ST,PHILADELPHIA,PA,19104,https://drexel.edu/
1542,UKIAH ADULT SCHOOL,1056 NORTH BUSH STREET,UKIAH,CA,95482,https://adultschool.uusd.net/
1543,WILMINGTON COLLEGE,1870 QUAKER WAY,WILMINGTON,OH,45177,https://www.wilmington.edu/
1544,SOUTHERN STATE COMMUNITY COLLEGE,100 HOBART DRIVE,HILLSBORO,OH,45133,https://www.sscc.edu/
1545,SOUTHERN WESLEYAN UNIVERSITY,907 WESLEYAN DRIVE,CENTRAL,SC,29630,www.swu.edu/
1546,TOTAL TRANSFORMATION INSTITUTE OF COSMETOLOGY,907 HIGHWAY 80,SAN MARCOS,TX,78666,www.ttioc.com/
1547,VIBE BARBER COLLEGE,880 THOMAS STREET,MEMPHIS,TN,38107,vibebarbercollege.edu/
1548,SETTING THE STANDARD BARBERING AND NATURAL HAIR ACADEMY,2902 JEWELLA AVENUE,SHREVEPORT,LA,71109,www.sts-academy.com/
1549,CHAMPLAIN COLLEGE,163 S WILLARD ST,BURLINGTON,VT,05401,www.champlain.edu/
1550,WESTERN NEVADA COLLEGE,2201 WEST COLLEGE PARKWAY,CARSON CITY,NV,89703,www.wnc.edu/
1551,CONCORDIA UNIVERSITY-ANN ARBOR,4090 GEDDES RD,ANN ARBOR,MI,48105,https://www.cuaa.edu/
1552,BRYANT & STRATTON COLLEGE-WAUWATOSA,10950 W POTTER ROAD,WAUWATOSA,WI,53226,https://www.bryantstratton.edu/
1553,MILAN INSTITUTE OF COSMETOLOGY-FAIRFIELD,934 MISSOURI STREET,FAIRFIELD,CA,94533,www.milaninstitute.edu/
1554,CET-COLTON,1099 N. PEPPER AVE,COLTON,CA,92324,https://cetweb.edu/
1555,SIMPSON UNIVERSITY,2211 COLLEGE VIEW DRIVE,REDDING,CA,96003,www.simpsonu.edu/
1556,EDMONDS COLLEGE,20000 68TH AVE W,LYNNWOOD,WA,98036,www.edcc.edu/
1557,UNIVERSITY OF CONNECTICUT-AVERY POINT,1084 SHENNECOSSETT RD,GROTON,CT,06340,averypoint.uconn.edu/
1558,AMERICAN INDIAN OIC INC,1845 E. FRANKLIN AVE,MINNEAPOLIS,MN,55404,www.aioic.org/
1559,HENDERSON STATE UNIVERSITY,1100 HENDERSON STREET,ARKADELPHIA,AR,71999,https://www.hsu.edu/
1560,HANDS ON THERAPY,1804 N GALLOWAY AVE,MESQUITE,TX,75149,www.handsontherapyschools.com/
1561,UNIVERSITY OF MAINE AT MACHIAS,116 O'BRIEN AVE,MACHIAS,ME,04654,machias.edu/
1562,MOUNT CARMEL COLLEGE OF NURSING,127 SO. DAVIS AVE,COLUMBUS,OH,43222,www.mccn.edu/
1563,ANTIOCH UNIVERSITY-SEATTLE,2326 6TH AVE,SEATTLE,WA,98121,www.antiochseattle.edu/
1564,SAMUEL MERRITT UNIVERSITY,3100 TELEGRAPH AVENUE,OAKLAND,CA,94609,www.samuelmerritt.edu/
1565,UPPER VALLEY EDUCATORS INSTITUTE,194 DARTMOUTH COLLEGE HIGHWAY,LEBANON,NH,03766,www.uvei.edu/
1566,MIDWEST COLLEGE OF ORIENTAL MEDICINE-EVANSTON,1601 N SHERMAN AVE,EVANSTON,IL,60201,www.acupuncture.edu/
1567,PCI COLLEGE,17215 STUDEBAKER RD #310,CERRITOS,CA,90703,www.pci-ed.com/
1568,PITTSBURGH TECHNICAL COLLEGE,1111 MCKEE ROAD,OAKDALE,PA,15071,www.ptcollege.edu/
1569,NORTHPOINT BIBLE COLLEGE,320 SOUTH MAIN STREET,HAVERHILL,MA,01835,www.northpoint.edu/
1570,TENNESSEE WESLEYAN UNIVERSITY,204 EAST COLLEGE STREET,ATHENS,TN,37303,www.tnwesleyan.edu/
1571,MERCY HOSPITAL SCHOOL OF PRACTICAL NURSING-PLANTATION GENERAL HOSPITAL,3663 S MIAMI AVE,MIAMI,FL,33133,mercymiami.com/professionals/school-of-practical-nursing
1572,LINCOLN TECHNICAL INSTITUTE-PARAMUS,240 BERGEN TOWN CENTER,PARAMUS,NJ,07652,www.lincolntech.edu/campus/paramus-nj
1573,AVEDA INSTITUTE-NEW YORK,233 SPRING ST,NEW YORK,NY,10013,avedaarts.edu/
1574,SAMARITAN HOSPITAL SCHOOL OF NURSING,1300 MASSACHUSETTS AVENUE,TROY,NY,12065,https://www.sphp.com/careers/schools-of-nursing/
1575,VANGUARD COLLEGE OF COSMETOLOGY-METAIRIE,3321 HESSMER AVENUE,METAIRIE,LA,70002,paulmitchell.edu/metairie
1576,NEW YORK SCHOOL FOR MEDICAL AND DENTAL ASSISTANTS,33-10 QUEENS BLVD,LONG ISLAND CITY,NY,11101,nysmda.com/
1577,UNIVERSAL TECHNICAL INSTITUTE OF ILLINOIS INC,2611 CORPORATE WEST DRIVE,LISLE,IL,60532,www.uti.edu/
1578,ROB ROY ACADEMY-WORCESTER,150 PLEASANT ST,WORCESTER,MA,01609,www.rob-roy.com/
1579,UNIVERSITY OF ARKANSAS-PULASKI TECHNICAL COLLEGE,3000 W SCENIC DR,NORTH LITTLE ROCK,AR,72118,uaptc.edu/
1580,ALASKA CHRISTIAN COLLEGE,35109 ROYAL PLACE,SOLDOTNA,AK,99669,www.alaskacc.edu/
1581,UNIVERSAL SPA TRAINING ACADEMY,340 BURLINGTON AVE,DOWNERS GROVE,IL,60515,www.spatrainingacademy.edu/
1582,NATIONAL AMERICAN UNIVERSITY-BELLEVUE,3604 SUMMIT PLAZA DRIVE,BELLEVUE,NE,68123,www.national.edu/locations/campuses/bellevue/
1583,MYCOMPUTERCAREER.EDU-RALEIGH,5511 CAPITAL CENTER DR STE 500,RALEIGH,NC,27606,www.mycomputercareer.edu/
1584,EDUCATORS OF BEAUTY COLLEGE OF COSMETOLOGY-ROCKFORD,2601 N. MULFORD,ROCKFORD,IL,61114,www.educatorsofbeauty.com/
1585,BERGIN UNIVERSITY OF CANINE STUDIES,10201 OLD REDWOOD HWY,PENNGROVE,CA,94951,www.berginu.edu/
1586,CAPILO SCHOOL OF HAIR DESIGN,43 BRIDGE STREET,AUGUSTA,ME,04330,www.capilo.com/
1587,EDGEWOOD COLLEGE,1000 EDGEWOOD COLLEGE DRIVE,MADISON,WI,53711,www.edgewood.edu/
1588,CULINARY INSTITUTE INC,7070 ALLENSBY,HOUSTON,TX,77022,www.culinaryinstitute.edu/
1589,MUHLENBERG COLLEGE,2400 CHEW STREET,ALLENTOWN,PA,18104,www.muhlenberg.edu/
1590,ARLINGTON BAPTIST UNIVERSITY,3001 W DIVISION,ARLINGTON,TX,76012,https://abu.edu/
1591,EMPIRE BEAUTY SCHOOL-LEHIGH VALLEY,1634 MACARTHUR RD,WHITEHALL,PA,18052,www.empire.edu/
1592,CALIFORNIA STATE UNIVERSITY-CHICO,FIRST AND NORMAL STS,CHICO,CA,95929,www.csuchico.edu/
1593,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,601 E JOHN STREET,CHAMPAIGN,IL,61820,www.illinois.edu/
1594,ST. JOHN'S COLLEGE-DEPARTMENT OF NURSING,729 E. CARPENTER ST,SPRINGFIELD,IL,62702,https://www.sjcs.edu/
1595,AVEDA ARTS & SCIENCES INSTITUTE-BATON ROUGE,2834 S SHERWOOD FOREST BLVD STE A,BATON ROUGE,LA,70816,avedaarts.edu/
1596,CONCORDE CAREER COLLEGE-GARDEN GROVE,"12951 EUCLID STREET, SUITE 101",GARDEN GROVE,CA,92840,https://www.concorde.edu/campus/garden-grove-california
1597,WOODBURY UNIVERSITY,7500 GLENOAKS BLVD,BURBANK,CA,91504,https://woodbury.edu/
1598,PICKENS TECHNICAL COLLEGE,500 AIRPORT BLVD,AURORA,CO,80011,www.pickenstech.org/
1599,HAWKEYE COMMUNITY COLLEGE,1501 E ORANGE RD,WATERLOO,IA,50701,www.hawkeyecollege.edu/
1600,CENTRAL SCHOOL OF PRACTICAL NURSING,"4700 ROCKSIDE ROAD, SUMMIT I, SUITE 250",INDEPENDENCE,OH,44131,https://www.cspnohio.edu/
1601,STRATFORD SCHOOL FOR AVIATION MAINTENANCE TECHNICIANS,200 GREAT MEADOW ROAD,STRATFORD,CT,06615,www.cttech.org/platt
1602,BRIGHTON CENTER'S CENTER FOR EMPLOYMENT TRAINING,"601 WASHINGTON AVE., SUITE 140",NEWPORT,KY,41071,www.brightoncenter.com/
1603,HARRIS SCHOOL OF BUSINESS-DOVER CAMPUS,97 COMMERCE WAY STE 105,DOVER,DE,19901,harrisschool.edu
1604,CAMBRIDGE TECHNICAL INSTITUTE,AVE. PONCE DE LEON #1058,SAN JUAN,PR,00918,www.cti.edu/
1605,PAUL MITCHELL THE SCHOOL-GREAT LAKES,2950 LAPEER ROAD,PORT HURON,MI,48060,paulmitchell.edu/porthuron
1606,COLLEGEAMERICA-COLORADO SPRINGS,3645 CITADEL DRIVE SOUTH,COLORADO SPRINGS,CO,80909,www.collegeamerica.edu/
1607,HARRIS SCHOOL OF BUSINESS-LINWOOD CAMPUS,"1201 NEW ROAD, STE 226",LINWOOD,NJ,08221,https://www.harrisschool.edu/campus-locations/linwood-nj/
1608,EASTERN CONNECTICUT STATE UNIVERSITY,83 WINDHAM ST,WILLIMANTIC,CT,06226,www.easternct.edu/
1609,GOLDEY-BEACOM COLLEGE,4701 LIMESTONE RD,WILMINGTON,DE,19808,www.gbc.edu/
1610,UNIVERSITY OF HAWAII AT HILO,200 W KAWILI ST,HILO,HI,96720,https://hilo.hawaii.edu/
1611,BETHANY COLLEGE,335 E SWENSSON ST,LINDSBORG,KS,67456,https://www.bethanylb.edu/
1612,MISSOURI VALLEY COLLEGE,500 E COLLEGE ST,MARSHALL,MO,65340,https://www.moval.edu/
1613,UNIVERSITY OF MISSOURI-KANSAS CITY,5000 HOLMES ST.,KANSAS CITY,MO,64110,https://www.umkc.edu/
1614,WORLD MISSION UNIVERSITY,500 SHATTO PL STE 600,LOS ANGELES,CA,90020,www.wmu.edu/
1615,SPERTUS COLLEGE,610 S MICHIGAN AVE,CHICAGO,IL,60605,www.spertus.edu/
1616,LINCOLN COLLEGE,300 KEOKUK ST,LINCOLN,IL,62656,lincolncollege.edu/
1617,SOUTHERN UNIVERSITY AT SHREVEPORT,3050 MARTIN LUTHER KING DR,SHREVEPORT,LA,71107,www.susla.edu/
1618,SALON PROFESSIONAL ACADEMY OF SAN ANTONIO,16640 SAN PEDRO AVENUE,SAN ANTONIO,TX,78232,www.tspasanantonio.com/
1619,BELLASA PROFESSIONAL INSTITUTE,744 NE 125TH STREET,NORTH MIAMI,FL,33161,www.bellasa.edu/
1620,AMERICAN INSTITUTE OF HEALTHCARE & TECHNOLOGY,480 LORDSHIP BOULEVARD,STRATFORD,CT,06615,https://www.aiht.edu/
1621,A BETTER U BEAUTY BARBER ACADEMY,5400 PHOENIX AVE NE SUITE 105,ALBUQUERQUE,NM,87110,https://abuacademy.com/
1622,COLLEGE UNBOUND,325 PUBLIC STREET,PROVIDENCE,RI,02905,collegeunbound.org
1623,VALLEY COLLEGE-CLEVELAND,8700 BROOKPARK ROAD,CLEVELAND,OH,44129,www.valley.edu
1624,ACADEMY OF INTERACTIVE ENTERTAINMENT,305 HARRISON ST STE 405,SEATTLE,WA,98109,https://www.aie.edu/
1625,MICHIGAN CAREER AND TECHNICAL INSTITUTE,11611 WEST PINE LAKE ROAD,PLAINWELL,MI,49080,www.michigan.gov/MCTI
1626,THE AILEY SCHOOL,405 W 55TH STREET,NEW YORK,NY,10019,www.theaileyschool.edu/
1627,STRAYER UNIVERSITY-DELAWARE,800 NORTH KING STREET SUITE 101,WILMINGTON,DE,19801,www.strayer.edu/campus-locations/delaware/wilmington
1628,CARRINGTON COLLEGE-RENO,5580 KIETZKE LN.,RENO,NV,89511,https://carrington.edu/
1629,ARIZONA COLLEGE OF NURSING-LAS VEGAS,2320 SOUTH RANCHO DRIVE,LAS VEGAS,NV,89102,https://www.arizonacollege.edu/
1630,CALIFORNIA JAZZ CONSERVATORY,2087 ADDISON STREET,BERKELEY,CA,94704,www.cjc.edu/
1631,ERIC FISHER ACADEMY,6727 W CENTRAL,WICHITA,KS,67212,www.ericfisheracademy.com/
1632,EASTERN COLLEGE OF HEALTH VOCATIONS-NEW ORLEANS,201 EVANS RD. BLDG 400,NEW ORLEANS,LA,70123,www.easterncollege.edu./
1633,PALM BEACH STATE COLLEGE,4200 CONGRESS AVE,LAKE WORTH,FL,33461,www.palmbeachstate.edu/
1634,UNIVERSITY OF IDAHO,875 PERIMETER DRIVE MS 2282,MOSCOW,ID,83844,www.uidaho.edu/
1635,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,"223 RT. 18, SUITE 205",EAST BRUNSWICK,NJ,08816,massageschoolnewjersey.com/
1636,MIDWESTERN CAREER COLLEGE,"100 S WACKER DR, LL1-50",CHICAGO,IL,60202,www.mccollege.edu/
1637,CRAVEN COMMUNITY COLLEGE,800 COLLEGE CT,NEW BERN,NC,28562,www.cravencc.edu/
1638,SCHOOLCRAFT COLLEGE,18600 HAGGERTY ROAD,LIVONIA,MI,48152,www.schoolcraft.edu/
1639,BALTIMORE CITY COMMUNITY COLLEGE,2901 LIBERTY HEIGHTS AVENUE,BALTIMORE,MD,21215,www.bccc.edu/
1640,CLOYD'S BEAUTY SCHOOL 1 INC,603 NATCHITOCHES ST,WEST MONROE,LA,71291,cloydsbeautyschool.com/
1641,CHAMBERLAIN UNIVERSITY-VIRGINIA,1951 KIDWELL DRIVE,VIENNA,VA,22182,https://www.chamberlain.edu/
1642,DIAMONDS COSMETOLOGY COLLEGE,3321 LOY LAKE RD,SHERMAN,TX,75090,www.diamondscosmetology.com/
1643,REMINGTON COLLEGE-DALLAS CAMPUS,1800 EASTGATE DR,GARLAND,TX,75041,www.remingtoncollege.edu/dallas-texas-career-schools-overview
1644,SOUTHERN ILLINOIS UNIVERSITY-EDWARDSVILLE,IL STATE RTE 157,EDWARDSVILLE,IL,62026,www.siue.edu/
1645,SAE INSTITUTE OF TECHNOLOGY-MIAMI,16051 W. DIXIE HIGHWAY,NORTH MIAMI BEACH,FL,33160,usa.sae.edu/campuses/miami/
1646,AUSTIN PEAY STATE UNIVERSITY,601 COLLEGE ST,CLARKSVILLE,TN,37044,www.apsu.edu/
1647,COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,585 SALIDA WAY,AURORA,CO,80011,https://csuglobal.edu/
1648,HOPKINSVILLE COMMUNITY COLLEGE,720 NORTH DR.,HOPKINSVILLE,KY,42240,https://hopkinsville.kctcs.edu/index.aspx
1649,ST. JOHN'S UNIVERSITY-NEW YORK,8000 UTOPIA PKY,QUEENS,NY,11439,www.stjohns.edu/
1650,GEISINGER COMMONWEALTH SCHOOL OF MEDICINE,525 PINE ST,SCRANTON,PA,18509,https://www.geisinger.edu/education
1651,BRYN ATHYN COLLEGE OF THE NEW CHURCH,2945 COLLEGE DRIVE,BRYN ATHYN,PA,19009,www.brynathyn.edu/
1652,CAIRN UNIVERSITY-LANGHORNE,200 MANOR AVE,LANGHORNE,PA,19047,www.cairn.edu/
1653,VERITAS BAPTIST COLLEGE,"181 US 50 E., SUITE 204",GREENDALE,IN,47025,www.vbc.edu/
1654,MERRYFIELD SCHOOL OF PET GROOMING,5040 NORTHEAST 13 AVENUE,OAKLAND PARK,FL,33334,https://www.merryfield.edu/
1655,TECHNICAL COLLEGE OF THE LOWCOUNTRY,921 RIBAUT ROAD,BEAUFORT,SC,29901,www.tcl.edu/
1656,MITCHELL TECHNICAL COLLEGE,1800 E. SPRUCE STREET,MITCHELL,SD,57301,https://www.mitchelltech.edu/
1657,ANGELO STATE UNIVERSITY,2601 W. AVENUE N,SAN ANGELO,TX,76909,www.angelo.edu/
1658,SAN JOAQUIN VALLEY COLLEGE-CENTRAL ADMINISTRATIVE OFFICE,3828 W. CALDWELL AVE.,VISALIA,CA,93277,www.sjvc.edu/
1659,DETROIT BUSINESS INSTITUTE-DOWNRIVER,19100 FORT ST,RIVERVIEW,MI,48193,www.dbidownriver.edu/
1660,TRIDENT UNIVERSITY INTERNATIONAL,"5757 PLAZA DRIVE, SUITE 100",CYPRESS,CA,90630,www.trident.edu/
1661,CLARK ATLANTA UNIVERSITY,"223 JAMES P BRAWLEY DRIVE, SW",ATLANTA,GA,30314,www.cau.edu/
1662,CLOVER PARK TECHNICAL COLLEGE,4500 STEILACOOM BLVD SW,LAKEWOOD,WA,98499,www.cptc.edu/
1663,ASBURY UNIVERSITY,1 MACKLEM DR,WILMORE,KY,40390,www.asbury.edu/
1664,SAINT LEO UNIVERSITY,33701 STATE ROAD 52,SAINT LEO,FL,33574,www.saintleo.edu/
1665,BROWN COLLEGE OF COURT REPORTING,"1100 SPRING STREET, SUITE 101",ATLANTA,GA,30309,www.bccr.edu/
1666,OAKLAND UNIVERSITY,2200 NORTH SQUIRREL ROAD,ROCHESTER HILLS,MI,48309,www.oakland.edu/
1667,SAINT JOHNS UNIVERSITY,2850 ABBEY PLAZA,COLLEGEVILLE,MN,56321,https://csbsju.edu/
1668,NEBRASKA INDIAN COMMUNITY COLLEGE,1111 HWY 75,MACY,NE,68039,www.thenicc.edu/
1669,SANDHILLS COMMUNITY COLLEGE,3395 AIRPORT RD,PINEHURST,NC,28374,www.sandhills.edu/
1670,EASTERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,316 EASTERN DRIVE,MOOREFIELD,WV,26836,www.easternwv.edu/
1671,NATIONAL UNIVERSITY OF NATURAL MEDICINE,49 S PORTER ST.,PORTLAND,OR,97201,www.nunm.edu/
1672,TRICOCI UNIVERSITY OF BEAUTY CULTURE LLC-BLOOMINGTON,1681 N. COLLEGE AVE,BLOOMINGTON,IN,47404,www.tricociuniversity.edu/
1673,YESHIVAS NOVOMINSK,1690 60TH STREET,BROOKLYN,NY,11204,https://yeshivasnovominsk.com/
1674,CUNY BROOKLYN COLLEGE,2900 BEDFORD AVE,BROOKLYN,NY,11210,www.brooklyn.cuny.edu/
1675,DEVRY COLLEGE OF NEW YORK,"180 MADISON AVE., STE. 1200",NEW YORK,NY,10016,https://www.devry.edu/
1676,LINCOLN TECHNICAL INSTITUTE-MAHWAH,70 MCKEE DR,MAHWAH,NJ,07430,www.lincolntech.edu/campus/mahwah-nj
1677,PINNACLE INSTITUTE OF COSMETOLOGY,461-C EAST PLAZA DRIVE,MOORESVILLE,NC,28115,pinnacleinstitute.edu/
1678,WESTERN SUFFOLK BOCES,152 LAUREL HILL RD,NORTHPORT,NY,11768,www.wilsontech.org/
1679,INDIANA STATE UNIVERSITY,210 N 7TH ST,TERRE HAUTE,IN,47809,https://www.indstate.edu/
1680,CALIFORNIA CAREER SCHOOL,1100 TECHNOLOGY CIR,ANAHEIM,CA,92805,www.californiacareerschool.edu
1681,GRACE COLLEGE AND THEOLOGICAL SEMINARY,200 SEMINARY DR,WINONA LAKE,IN,46590,www.grace.edu/
1682,CENTRAL CHRISTIAN COLLEGE OF KANSAS,1200 S MAIN,MCPHERSON,KS,67460,https://www.centralchristian.edu/
1683,NIAGARA UNIVERSITY,LEWISTON ROAD,NIAGARA UNIVERSITY,NY,14109,www.niagara.edu/
1684,EXCELSIOR COLLEGE,7 COLUMBIA CIR,ALBANY,NY,12203,www.excelsior.edu/
1685,FORTIS COLLEGE-FOLEY,200 EAST LAUREL AVENUE,FOLEY,AL,36535,www.fortis.edu/
1686,ATELIER ESTHETIQUE INSTITUTE OF ESTHETICS,226 EAST 26TH STREET 7TH FLOOR,NEW YORK,NY,10001,www.aeinstitute.net/
1687,NASHVILLE STATE COMMUNITY COLLEGE,120 WHITE BRIDGE RD,NASHVILLE,TN,37209,www.nscc.edu/
1688,SAINT MARTIN'S UNIVERSITY,5000 ABBEY WAY SE,LACEY,WA,98503,https://www.stmartin.edu/
1689,WEST VIRGINIA JUNIOR COLLEGE-UNITED CAREER INSTITUTE,MOUNT BRADDOCK ROAD,MOUNT BRADDOCK,PA,15465,www.piht.edu/
1690,EMPIRE BEAUTY SCHOOL-THORNTON,3811 E 120TH AVE,THORNTON,CO,80233,www.empire.edu/
1691,NORTHWESTERN UNIVERSITY,633 CLARK ST,EVANSTON,IL,60208,www.northwestern.edu/
1692,LA JAMES COLLEGE OF HAIRSTYLING AND COSMETOLOGY,24 SECOND ST NE,MASON CITY,IA,50401,www.lajames.edu/
1693,CARRINGTON COLLEGE-PHOENIX NORTH,2149 W DUNLAP AVENUE,PHOENIX,AZ,85051,https://carrington.edu/
1694,ATLANTA TECHNICAL COLLEGE,1560 METROPOLITAN PKWY SW,ATLANTA,GA,30310,https://www.atlantatech.edu/
1695,FORT HAYS STATE UNIVERSITY,600 PARK ST,HAYS,KS,67601,www.fhsu.edu/
1696,ALVERNIA UNIVERSITY,400 SAINT BERNARDINE ST,READING,PA,19607,https://www.alvernia.edu/
1697,SAN DIEGO MESA COLLEGE,7250 MESA COLLEGE DR,SAN DIEGO,CA,92111,www.sdmesa.edu/
1698,ARIZONA STATE UNIVERSITY-POLYTECHNIC,7001 E WILLIAMS FIELD ROAD,MESA,AZ,85212,www.asu.edu/
1699,ACADEMY OF NATURAL THERAPY INC,625 8TH AVE,GREELEY,CO,80631,www.natural-therapy.com/
1700,LONGY SCHOOL OF MUSIC OF BARD COLLEGE,27 GARDEN STREET,CAMBRIDGE,MA,02138,longy.edu/
1701,MAINE COLLEGE OF ART,522 CONGRESS ST.,PORTLAND,ME,04101,www.meca.edu/
1702,HILLSDALE BEAUTY COLLEGE,64 WALDRON ST,HILLSDALE,MI,49242,www.hillsdalebeautycollege.com/
1703,FERRIS STATE UNIVERSITY,1201 S STATE ST,BIG RAPIDS,MI,49307,www.ferris.edu/
1704,STATE TECHNICAL COLLEGE OF MISSOURI,ONE TECHNOLOGY DRIVE,LINN,MO,65051,https://www.statetechmo.edu/
1705,ALBANY LAW SCHOOL,80 NEW SCOTLAND AVENUE,ALBANY,NY,12208,www.albanylaw.edu/
1706,FLORIDA SOUTHERN COLLEGE,111 LAKE HOLLINGSWORTH DR,LAKELAND,FL,33801,www.flsouthern.edu/
1707,GUPTON JONES COLLEGE OF FUNERAL SERVICE,5141 SNAPFINGER WOODS DR,DECATUR,GA,30035,www.gupton-jones.edu/
1708,CAPRI BEAUTY COLLEGE,15815 S ROB ROY DR,OAK FOREST,IL,60452,capri.edu/
1709,TAYLOR INSTITUTE OF COSMETOLOGY II,320 E CULVER RD,KNOX,IN,46534,www.kbc.edu/
1710,NEW BRUNSWICK THEOLOGICAL SEMINARY,35 SEMINARY PLACE,NEW BRUNSWICK,NJ,08901,www.nbts.edu/
1711,SAINT PAUL SCHOOL OF THEOLOGY,13720 ROE AVENUE,LEAWOOD,KS,66224,www.spst.edu/
1712,WILLIAM JEWELL COLLEGE,500 COLLEGE HILL,LIBERTY,MO,64068,https://www.jewell.edu/
1713,OKLAHOMA TECHNICAL COLLEGE,4444 SOUTH SHERIDAN,TULSA,OK,74145,www.oklahomatechnicalcollege.com/
1714,HARMONY HEALTH CARE INSTITUTE,"10 AL PAUL LANE, SUITE 204",MERRIMACK,NH,03054,www.harmony-health.org/
1715,UNIVERSITY OF WISCONSIN-PARKSIDE FLEX,900 WOOD RD,KENOSHA,WI,53141,https://flex.wisconsin.edu/
1716,URBAN BARBER COLLEGE,1809 WILLOW PASS RD,CONCORD,CA,94520,urbanbarbercollege.com/
1717,POWAY ADULT SCHOOL,13626 TWIN PEAKS ROAD,POWAY,CA,92064,www.powayadultschool.com/
1718,CENTRAL PENNSYLVANIA DIESEL INSTITUTE,1718 OLD TRAIL ROAD,LIVERPOOL,PA,17045,www.cpdiesel.com/
1719,YOUNG AMERICANS COLLEGE OF THE PERFORMING ARTS,1132 OLYMPIC DRIVE,CORONA,CA,92881,https://www.yacollege.edu/
1720,CAREERS INSTITUTE OF AMERICA,13614 MIDWAY ROAD,DALLAS,TX,75244,www.careers-ins.com/
1721,HOUSTON BARBER SCHOOL,313 RANKIN ROAD,HOUSTON,TX,77073,www.htxbarberschool.com/
1722,ARIZONA STATE UNIVERSITY - WASHINGTON CENTER,1801 I STREET NORTH WEST,WASHINGTON,DC,20006,NOT AVAILABLE
1723,ACADEMY COLLEGE,"1600 W. 82ND STREET, SUITE 100",BLOOMINGTON,MN,55431,www.academycollege.edu/
1724,STEVENSON UNIVERSITY,1525 GREENSPRING VALLEY RD,STEVENSON,MD,21153,www.stevenson.edu/
1725,HUSSIAN COLLEGE-LOS ANGELES,1201 W. 5TH STREET,LOS ANGELES,CA,90017,relativityschool.org/
1726,UEI COLLEGE-BAKERSFIELD,3737 ROSEDALE HIGHWAY,BAKERSFIELD,CA,93308,https://www.uei.edu/
1727,UNIVERSAL HEALTHCARE CAREERS COLLEGE,"1625 WEST OLYMPIC BOULEVARD, SUITE 708",LOS ANGELES,CA,90015,www.uhcc.edu/
1728,PAUL MITCHELL THE SCHOOL-SHERMAN OAKS,15301 VENTURA BLVD UNIT P2,SHERMAN OAKS,CA,91403,paulmitchell.edu/shermanoaks
1729,DOLCE LLC THE ACADEMY,91 SCHRAFFTS DRIVE SUITE 7,WATERBURY,CT,06705,www.dolceacademy.edu/
1730,UNIVERSAL TECHNICAL INSTITUTE-SOUTHERN CALIFORNIA,4175 E. CONANT STREET,LONG BEACH,CA,90808,https://www.uti.edu/
1731,UNIVERSITY OF ARIZONA-SIERRA VISTA,1140 NORTH COLOMBO AVENUE,SIERRA VISTA,AZ,85635,https://azcast.arizona.edu/
1732,SOUTHERN REGIONAL TECHNICAL COLLEGE,15689 US HWY 19 NORTH,THOMASVILLE,GA,31792,southernregional.edu/
1733,CHAMBERLAIN UNIVERSITY-GEORGIA,"5775 PEACHTREE-DUNWOODY ROAD, NE, SUITE A100",ATLANTA,GA,30342,https://www.chamberlain.edu/
1734,NATIONAL PERSONAL TRAINING INSTITUTE-TAMPA,8411 SUNSTATE STREET,TAMPA,FL,33634,nptiflorida.edu/npti-tampa/
1735,MEDINA COUNTY CAREER CENTER,1101 W LIBERTY ST,MEDINA,OH,44256,https://mcjvs.edu/
1736,HUNTINGTON UNIVERSITY OF HEALTH SCIENCES,118 LEGACY VIEW WAY,KNOXVILLE,TN,37918,https://www.huhs.edu/
1737,GALVESTON COLLEGE,4015 AVE Q,GALVESTON,TX,77550,www.gc.edu/
1738,ROSS MEDICAL EDUCATION CENTER-MIDLAND,2600 N. SAGINAW,MIDLAND,MI,48640,www.rosseducation.edu/
1739,UNIVERSITY OF TULSA,800 SOUTH TUCKER DRIVE,TULSA,OK,74104,https://utulsa.edu/
1740,CENTRAL PENN COLLEGE,600 VALLEY ROAD,SUMMERDALE,PA,17093,www.centralpenn.edu/
1741,DELAWARE COUNTY COMMUNITY COLLEGE,901 S MEDIA LINE RD,MEDIA,PA,19063,www.dccc.edu/
1742,COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,1919 FRANKFORD AVE.,LUBBOCK,TX,79407,covenanthealth.org/cson
1743,RABBINICAL SEMINARY OF AMERICA,76-01 147TH ST,FLUSHING,NY,11367,www.rabbinical.org/
1744,ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-ROCHESTER,302 N GOODMAN ST STE 200,ROCHESTER,NY,14607,www.ostm.edu/
