Id,Name,Address,City,State,Zip,Website
50,SOUTHEASTERN ILLINOIS COLLEGE,3575 COLLEGE ROAD,HARRISBURG,IL,62946,www.sic.edu/
51,KENNETH SHULER SCHOOL OF COSMETOLOGY-COLUMBIA,7474 GARNERS FERRY ROAD,COLUMBIA,SC,29209,www.kennethshuler.com/
52,HOMESTEAD SCHOOLS,23800 HAWTHORNE BLVD. STE 200,TORRANCE,CA,90505,www.homesteadschools.net/
53,OUR LADY OF THE LAKE UNIVERSITY,411 SW 24TH ST.,SAN ANTONIO,TX,78207,https://www.ollusa.edu/
54,LAKELAND UNIVERSITY,W3718 SOUTH DRIVE,PLYMOUTH,WI,53073,www.lakeland.edu/
55,CENTURA COLLEGE-NEWPORT NEWS,616 DENBIGH BLVD.,NEWPORT NEWS,VA,23608,https://www.centuracollege.edu/campuses/newport-news/
56,UNION COLLEGE,3800 S 48TH STREET,LINCOLN,NE,68506,https://www.ucollege.edu/
57,AVEDA ARTS & SCIENCES INSTITUTE-SAN ANTONIO,21003 ENCINO COMMONS STE 121,SAN ANTONIO,TX,78259,https://avedaarts.edu/
58,ADVANCED WELDING INSTITUTE,2 GREEN TREE DR SUITE 3,SOUTH BURLINGTON,VT,05403,www.awi.edu/
59,INDIANA INSTITUTE OF TECHNOLOGY,1600 E WASHINGTON BLVD,FORT WAYNE,IN,46803,www.indianatech.edu/
60,AMERICAN SAMOA COMMUNITY COLLEGE,P.O. BOX 2609,PAGO PAGO,AS,96799,www.amsamoa.edu/
61,ARIZONA STATE UNIVERSITY-WEST,4701 W THUNDERBIRD ROAD,GLENDALE,AZ,85306,www.asu.edu/
62,HERITAGE BIBLE COLLEGE,494 ANTIOCH CHURCH ROAD,DUNN,NC,28334,www.heritagebiblecollege.edu/
63,PAUL MITCHELL THE SCHOOL-FAYETTEVILLE,505A CROSS CREEK MALL,FAYETTEVILLE,NC,28303,paulmitchell.edu/fayetteville
64,COLEGIO UNIVERSITARIO DE SAN JUAN,180 JOSE OLIVER ST TRES MONJITAS IND. PARK,SAN JUAN,PR,00918,www.cunisanjuan.edu/
65,PLATT COLLEGE-SAN DIEGO,6250 EL CAJON BLVD,SAN DIEGO,CA,92115,www.platt.edu/
66,YORK COUNTY SCHOOL OF TECHNOLOGY-ADULT & CONTINUING EDUCATION,2179 S QUEEN ST,YORK,PA,17402,www.ytech.edu/
67,HDS TRUCK DRIVING INSTITUTE,6251 S. WILMOT ROAD,TUCSON,AZ,85756,www.hdstruckdrivinginstitute.com/
68,AMBRIA COLLEGE OF NURSING,5210 TRILLIUM BLVD,HOFFMAN ESTATES,IL,60192,ambria.edu/
69,KEUKA COLLEGE,141 CENTRAL AVENUE,KEUKA PARK,NY,14478,https://www.keuka.edu/
70,CENTER FOR MASSAGE,"16 EAGLE STREET, SUITE 100",ASHEVILLE,NC,28801,centerformassage.com/
71,SOUTH UNIVERSITY-MONTGOMERY,5355 VAUGHN RD,MONTGOMERY,AL,36116,"www.southuniversity.edu/montgomery#location=Montgomery, AL"
72,LINCOLN UNIVERSITY,401 15TH STREET,OAKLAND,CA,94612,www.lincolnuca.edu/
73,HENDRIX COLLEGE,1600 WASHINGTON AVE,CONWAY,AR,72032,www.hendrix.edu/
74,COVENANT COLLEGE,14049 SCENIC HIGHWAY,LOOKOUT MOUNTAIN,GA,30750,www.covenant.edu/
75,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,1400 NE CAMPUS PARKWAY,SEATTLE,WA,98195,www.washington.edu/
76,SAN JOAQUIN VALLEY COLLEGE-ONTARIO,4580 ONTARIO MILLS PARKWAY,ONTARIO,CA,91764,sjvc.edu/
77,TOHONO O'ODHAM COMMUNITY COLLEGE,"HIGHWAY 86, MILE POST 125.5",SELLS,AZ,85634,www.tocc.edu/
78,AMERITECH COLLEGE-DRAPER,12257 SOUTH BUSINESS PARK DRIVE-STE 100,DRAPER,UT,84020,www.ameritech.edu/
79,RICE UNIVERSITY,6100 S MAIN ST,HOUSTON,TX,77005,www.rice.edu/
80,UNIVERSITY OF NOTRE DAME,400 MAIN BUILDING,NOTRE DAME,IN,46556,www.nd.edu/
81,WAYLAND BAPTIST UNIVERSITY,1900 W 7TH ST.,PLAINVIEW,TX,79072,www.wbu.edu/
82,UNIVERSITY OF VIRGINIA-MAIN CAMPUS,1827 UNIVERSITY AVENUE,CHARLOTTESVILLE,VA,22903,https://www.virginia.edu/
83,KIAMICHI TECHNOLOGY CENTER-MCALESTER,301 KIAMICHI DR,MCALESTER,OK,74501,www.ktc.edu/
84,UNIVERSITY OF PHOENIX-UTAH,5373 S. GREEN STREET,SALT LAKE CITY,UT,84123,https://www.phoenix.edu/
85,INTERNATIONAL TECHNOLOGICAL UNIVERSITY,3120 SCOTT BLVD,SANTA CLARA,CA,95054,https://www.itu.edu/
86,ROBERT MORRIS UNIVERSITY ILLINOIS,401 S STATE STREET,CHICAGO,IL,60605,https://robertmorris.edu/
87,NEW HOPE CHRISTIAN COLLEGE-EUGENE,2155 BAILEY HILL RD,EUGENE,OR,97405,www.newhope.edu/
88,CLARKS SUMMIT UNIVERSITY,538 VENARD RD,CLARKS SUMMIT,PA,18411,https://www.clarkssummitu.edu/
89,LINFIELD UNIVERSITY-ONLINE AND CONTINUING EDUCATION,900 SE BAKER STREET,MCMINNVILLE,OR,97128,https://www.linfield.edu/academics/oce/index.html
90,MARYMOUNT MANHATTAN COLLEGE,221 E 71ST ST,NEW YORK,NY,10021,www.mmm.edu/
91,CRISWELL COLLEGE,4010 GASTON AVENUE,DALLAS,TX,75246,www.criswell.edu/
92,PC AGE-METROPARK,120 WOOD AVENUE SOUTH,ISELIN,NJ,08830,www.pcage.edu/
93,PALM BEACH ACADEMY OF HEALTH & BEAUTY,1220-A 10TH ST,LAKE PARK,FL,33403,www.pbacademy.net/
94,REMINGTON COLLEGE-SHREVEPORT CAMPUS,2106 BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71101,www.remingtoncollege.edu/shreveport-career-school-overview
95,INSTITUTE FOR BUSINESS AND TECHNOLOGY,2400 WALSH AVENUE,SANTA CLARA,CA,95051,https://ibt.edu/
96,FLORIDA SCHOOL OF MASSAGE,6421 SW 13TH ST,GAINESVILLE,FL,32608,floridaschoolofmassage.com/
97,DORSEY SCHOOL OF BUSINESS-MADISON HEIGHTS,31739 JOHN R ROAD,MADISON HEIGHTS,MI,48071,www.dorsey.edu/
98,RESEARCH COLLEGE OF NURSING,2525 E. MEYER BOULEVARD,KANSAS CITY,MO,64132,researchcollege.edu/
99,ST JOHN'S SEMINARY,5012 SEMINARY RD,CAMARILLO,CA,93012,www.stjohnsem.edu
100,COLLEGE OF COURT REPORTING INC,"455 WEST LINCOLNWAY, SUITE A",VALPARAISO,IN,46385,www.ccr.edu/
101,ROWAN COLLEGE OF SOUTH JERSEY GLOUCESTER CAMPUS,1400 TANYARD ROAD,SEWELL,NJ,08080,www.rcsj.edu/
